id,name,teacher,day,slots,credit,isBase,isLang,CourseNumber,program,isSmr
1141105,行政法專題研究（四）,詹鎮榮,2,5|6,2,False,False,651127001,法律系碩士班,False
1141106,侵權行為法專題研究（二）,張韻琪,5,D|5|6,3,False,False,651167001,法律系碩士班,False
1141107,刑事訴訟法專題研究（五）,楊雲驊,2,5|6,2,False,False,651174001,法律系碩士班,False
1141108,刑法專題研究（四）,李聖傑、洪敏超,3,5|6,2,False,False,651191001,法律系碩士班,False
1141109,身分法專題研究（二）,林秀雄,4,5|6,2,False,False,651219001,法律系碩士班,False
1141110,公司法專題研究（一）,周振鋒,1,5|6,2,False,False,651242001,法律系碩士班,False
1141111,智慧財產權法專題研究（一）,陳龍昇,3,7|8,2,False,False,651310001,法律系碩士班,False
1141112,契約法專題研究（四）,周伯峰,4,3|4,2,False,False,651313001,法律系碩士班,False
1141113,法社會學專題研究（二）,王曉丹,5,D|5|6,3,False,False,651314001,法律系碩士班,False
1141114,憲法專題研究（六）,林佳和,4,3|4,2,False,False,651325001,法律系碩士班,False
1141115,社會保險法專題研究（一）,孫迺翊,3,3|4,2,False,False,651343001,法律系碩士班,False
1141116,金融法專題研究（五）,林國彬,3,3|4,2,False,False,651353001,法律系碩士班,False
1141117,保險法專題研究（五）,林勳發,2,3|4,2,False,False,651357001,法律系碩士班,False
1141118,集體勞動法專題研究（二）,林佳和,3,7|8,2,False,False,651371001,法律系碩士班,False
1141119,刑事政策專題研究（二）,謝如媛,4,2|3|4,3,False,False,651378001,法律系碩士班,False
1141120,民事實務專題研究（四）,許政賢,4,3|4,2,False,False,651383001,法律系碩士班,False
1141121,財產法專題研究（六）,向明恩,3,5|6,2,False,False,651389001,法律系碩士班,False
1141122,公司法專題研究（八）,劉連煜,1,7|8,2,False,False,651406001,法律系碩士班,False
1141123,法文法學名著選讀（三）,吳秦雯,2,3|4|C,3,False,True,651437001,法律系碩士班,False
1141124,刑罰思想史專題研究（二）,黃源盛,3,3|4,2,False,False,651450001,法律系碩士班,False
1141125,法制史專題研究（六）,黃琴唐,3,5|6|7,3,False,False,651458001,法律系碩士班,False
1141126,公法實務專題研究（一）,董保城,3,7|8,2,False,False,651461001,法律系碩士班,False
1141127,國際智慧財產權法專題研究（二）,沈宗倫,2,3|4,2,False,False,651547001,法律系碩士班,False
1141128,營業秘密：法律與管理,馮震宇,3,5,1,False,False,651603001,法律系碩士班,False
1141129,公司法案例研習（三）,朱德芳,5,C,1,False,False,651650001,法律系碩士班,False
